Anio,Estacion,Muertes
1982,Invierno,33.6
1982,Primavera,31.4
1982,Verano,29.8
1982,Otono,32.1
1983,Invierno,32.5
1983,Primavera,30.1
1983,Verano,28.5
1983,Otono,29.9
1984,Invierno,35.3
1984,Primavera,33.2
1984,Verano,29.5
1984,Otono,28.7
1985,Invierno,34.4
1985,Primavera,28.6
1985,Verano,33.9
1985,Otono,30.1
1986,Invierno,37.3
1986,Primavera,34.1
1986,Verano,28.5
1986,Otono,29.4
